2020-03-23 17:26:34.135312: Try #1000 for relation: RelatedTo, word 1: grass, word 2: grass
2020-03-23 17:27:25.792743: Try #2000 for relation: RelatedTo, word 1: grass, word 2: grass
2020-03-23 17:28:17.390364: Try #3000 for relation: RelatedTo, word 1: grass, word 2: grass
2020-03-23 17:29:11.424795: Try #4000 for relation: RelatedTo, word 1: grass, word 2: grass
2020-03-23 17:30:13.074164: Try #5000 for relation: RelatedTo, word 1: grass, word 2: grass
2020-03-23 17:31:00.551478: Try #6000 for relation: RelatedTo, word 1: grass, word 2: grass
2020-03-23 17:31:49.780210: Try #7000 for relation: RelatedTo, word 1: grass, word 2: grass
2020-03-23 17:32:40.102776: Try #8000 for relation: RelatedTo, word 1: grass, word 2: grass
2020-03-23 17:33:31.254493: Try #9000 for relation: RelatedTo, word 1: grass, word 2: grass
2020-03-23 17:34:24.738884: Try #10000 for relation: RelatedTo, word 1: grass, word 2: grass
2020-03-23 17:35:19.639881: Try #11000 for relation: RelatedTo, word 1: grass, word 2: grass
2020-03-23 17:36:15.228975: Try #12000 for relation: RelatedTo, word 1: grass, word 2: grass
2020-03-23 17:37:03.936390: Try #13000 for relation: RelatedTo, word 1: grass, word 2: grass
2020-03-23 17:37:53.369339: Try #14000 for relation: RelatedTo, word 1: grass, word 2: grass
2020-03-23 17:38:44.988701: Try #15000 for relation: RelatedTo, word 1: grass, word 2: grass
2020-03-23 17:39:43.996855: Try #16000 for relation: RelatedTo, word 1: grass, word 2: grass
2020-03-23 17:40:39.368638: Try #17000 for relation: RelatedTo, word 1: grass, word 2: grass
2020-03-23 17:41:26.468545: Try #18000 for relation: RelatedTo, word 1: grass, word 2: grass
2020-03-23 17:42:12.798782: Try #19000 for relation: RelatedTo, word 1: grass, word 2: grass
2020-03-23 17:43:02.187997: Try #20000 for relation: RelatedTo, word 1: grass, word 2: grass
2020-03-23 17:43:53.940738: Try #21000 for relation: RelatedTo, word 1: grass, word 2: grass
2020-03-23 17:44:49.605367: Try #22000 for relation: RelatedTo, word 1: grass, word 2: grass
2020-03-23 17:45:49.454012: Try #23000 for relation: RelatedTo, word 1: grass, word 2: grass
2020-03-23 17:46:42.122932: Try #24000 for relation: RelatedTo, word 1: grass, word 2: grass
2020-03-23 17:47:37.673914: Try #25000 for relation: RelatedTo, word 1: grass, word 2: grass
2020-03-23 17:48:31.296135: Try #26000 for relation: RelatedTo, word 1: grass, word 2: grass
2020-03-23 17:49:22.392685: Try #27000 for relation: RelatedTo, word 1: grass, word 2: grass
2020-03-23 17:50:20.251923: Try #28000 for relation: RelatedTo, word 1: grass, word 2: grass
2020-03-23 17:51:11.080540: Try #29000 for relation: RelatedTo, word 1: grass, word 2: grass
2020-03-23 17:52:05.200363: Try #30000 for relation: RelatedTo, word 1: grass, word 2: grass
2020-03-23 17:52:57.015773: Try #31000 for relation: RelatedTo, word 1: grass, word 2: grass
2020-03-23 17:53:48.923119: Try #32000 for relation: RelatedTo, word 1: grass, word 2: grass
2020-03-23 17:54:43.126660: Try #33000 for relation: RelatedTo, word 1: grass, word 2: grass
2020-03-23 17:55:47.662260: Try #34000 for relation: RelatedTo, word 1: grass, word 2: grass
2020-03-23 17:56:38.593360: Try #35000 for relation: RelatedTo, word 1: grass, word 2: grass
2020-03-23 17:57:34.259317: Try #36000 for relation: RelatedTo, word 1: grass, word 2: grass
2020-03-23 17:58:27.537085: Try #37000 for relation: RelatedTo, word 1: grass, word 2: grass
2020-03-23 17:59:20.812043: Try #38000 for relation: RelatedTo, word 1: grass, word 2: grass
