,RelatedTo,IsA,PartOf,UsedFor,AtLocation,total
object,148,15,10,1,1,169
physical_entity,170,0,0,0,0,168
artifact,107,26,13,16,3,155
whole,143,0,0,0,0,141
matter,99,0,0,0,0,97
substance,78,17,5,1,1,96
food,66,13,5,4,6,88
organism,69,6,0,0,0,73
person,50,11,7,2,0,64
animal,30,20,8,2,4,58
instrumentality,60,0,0,0,0,58
abstraction,60,0,0,0,0,58
solid,55,1,0,0,0,54
stone,51,1,0,0,1,51
water,40,2,0,0,10,50
location,21,17,16,1,0,49
grass,47,1,0,0,3,49
sand,48,1,0,0,1,48
stick,45,0,0,3,2,48
material,46,3,0,0,0,47
act,18,21,13,1,0,47
foot,45,0,0,0,1,44
glass,43,0,0,0,3,44
entity,45,0,0,0,0,43
event,30,10,7,1,0,42
communication,16,15,12,5,0,42
attribute,22,20,5,1,0,42
cow,39,0,0,0,4,41
group,20,15,11,1,0,41
block,43,0,0,0,0,41
bone,36,0,0,1,5,40
sheep,41,0,0,0,1,40
bowl,39,0,0,1,2,40
carrot,41,0,0,0,0,39
fire,40,2,0,0,1,39
bed,39,0,0,0,2,39
diamond,37,3,0,0,0,38
carrots,39,0,0,0,0,37
ice,35,2,0,0,2,37
dirt,35,0,0,0,3,36
rabbit,38,0,0,0,0,36
table,34,2,0,0,4,36
horse,37,0,0,0,1,36
apple,38,0,0,0,0,36
device,36,1,0,0,0,35
cake,36,0,0,1,0,35
chicken,35,0,0,0,2,35
seeds,35,0,0,0,1,34
beef,36,0,0,0,0,34
snow,34,1,0,0,1,34
